y_true,clean,gray,n,CR,arm
83,0.6363636363636364,0.4090909090909091,330,0.22727272727272724,resnet50
84,0.9395348837209302,0.32558139534883723,215,0.613953488372093,resnet50
85,0.9368421052631579,0.8473684210526315,190,0.08947368421052637,resnet50
86,0.8697674418604651,0.7488372093023256,215,0.1209302325581395,resnet50
87,0.755223880597015,0.5791044776119403,670,0.17611940298507467,resnet50
88,0.8963414634146342,0.01097560975609756,820,0.8853658536585366,resnet50
89,0.7483870967741936,0.0,310,0.7483870967741936,resnet50
90,0.7571428571428571,0.3464285714285714,280,0.4107142857142857,resnet50
91,0.9652173913043478,0.6434782608695652,230,0.32173913043478264,resnet50
92,0.7769230769230769,0.6307692307692307,130,0.1461538461538462,resnet50
93,0.9507042253521126,0.8605633802816901,710,0.09014084507042253,resnet50
94,0.7870370370370371,0.38333333333333336,540,0.40370370370370373,resnet50
95,0.476056338028169,0.2028169014084507,355,0.2732394366197183,resnet50
96,0.7913043478260869,0.18695652173913044,230,0.6043478260869565,resnet50
97,0.9354838709677419,0.7580645161290323,310,0.17741935483870963,resnet50
98,0.8744186046511628,0.586046511627907,215,0.28837209302325584,resnet50
99,0.9655172413793104,0.503448275862069,145,0.4620689655172414,resnet50
100,0.9105263157894737,0.03684210526315789,190,0.8736842105263158,resnet50
101,0.9857142857142858,0.4142857142857143,140,0.5714285714285714,resnet50
0,1.0,0.93,100,0.06999999999999995,convnext_tiny_in1k
1,0.965,0.95,200,0.015000000000000013,convnext_tiny_in1k
2,0.76,0.51,100,0.25,convnext_tiny_in1k
3,0.7222222222222222,0.7222222222222222,180,0.0,convnext_tiny_in1k
4,0.92,0.1111111111111111,225,0.808888888888889,convnext_tiny_in1k
5,0.984,0.888,125,0.09599999999999997,convnext_tiny_in1k
6,1.0,0.88,100,0.12,convnext_tiny_in1k
7,1.0,0.8892307692307693,325,0.11076923076923073,convnext_tiny_in1k
8,0.9384615384615385,0.6307692307692307,130,0.3076923076923077,convnext_tiny_in1k
9,1.0,1.0,125,0.0,convnext_tiny_in1k
10,0.7522388059701492,0.3044776119402985,335,0.44776119402985076,convnext_tiny_in1k
11,0.9641791044776119,0.5134328358208955,335,0.4507462686567164,convnext_tiny_in1k
12,1.0,0.993103448275862,145,0.006896551724137945,convnext_tiny_in1k
13,0.95,0.9642857142857143,140,-0.014285714285714346,convnext_tiny_in1k
14,1.0,0.19310344827586207,145,0.806896551724138,convnext_tiny_in1k
15,0.9333333333333333,0.009523809523809525,105,0.9238095238095239,convnext_tiny_in1k
16,0.9876923076923076,0.8492307692307692,325,0.1384615384615384,convnext_tiny_in1k
17,0.9451612903225807,0.9064516129032258,310,0.03870967741935483,convnext_tiny_in1k
18,0.9172413793103448,0.7172413793103448,145,0.19999999999999996,convnext_tiny_in1k
19,0.9833333333333333,0.8444444444444444,180,0.13888888888888884,convnext_tiny_in1k
20,0.98,0.68,100,0.29999999999999993,convnext_tiny_in1k
21,1.0,0.8205128205128205,195,0.17948717948717952,convnext_tiny_in1k
22,0.8816901408450705,0.8732394366197183,355,0.008450704225352212,convnext_tiny_in1k
23,1.0,0.8545454545454545,110,0.1454545454545455,convnext_tiny_in1k
24,1.0,0.8857142857142857,105,0.11428571428571432,convnext_tiny_in1k
25,0.8952380952380953,0.3047619047619048,105,0.5904761904761905,convnext_tiny_in1k
26,1.0,0.41,100,0.5900000000000001,convnext_tiny_in1k
27,0.9956521739130435,0.30869565217391304,230,0.6869565217391305,convnext_tiny_in1k
28,0.9724137931034482,0.7620689655172413,290,0.21034482758620687,convnext_tiny_in1k
29,0.8338461538461538,0.5907692307692308,325,0.24307692307692297,convnext_tiny_in1k
30,0.95,0.8125,160,0.13749999999999996,convnext_tiny_in1k
31,0.896,0.656,125,0.24,convnext_tiny_in1k
32,0.9846153846153847,0.9076923076923077,130,0.07692307692307698,convnext_tiny_in1k
33,1.0,0.78,100,0.21999999999999997,convnext_tiny_in1k
34,1.0,1.0,115,0.0,convnext_tiny_in1k
35,0.9890909090909091,0.9563636363636364,275,0.032727272727272716,convnext_tiny_in1k
36,0.9931818181818182,0.9318181818181818,440,0.0613636363636364,convnext_tiny_in1k
37,0.9888888888888889,0.9944444444444445,180,-0.005555555555555536,convnext_tiny_in1k
38,0.9428571428571428,0.638095238095238,105,0.3047619047619048,convnext_tiny_in1k
39,0.9531914893617022,0.7702127659574468,235,0.18297872340425536,convnext_tiny_in1k
40,0.9551401869158879,0.930841121495327,535,0.024299065420560817,convnext_tiny_in1k
41,0.9794871794871794,0.21025641025641026,195,0.7692307692307692,convnext_tiny_in1k
42,0.769090909090909,0.49272727272727274,550,0.2763636363636363,convnext_tiny_in1k
43,0.9863013698630136,0.9616438356164384,365,0.02465753424657524,convnext_tiny_in1k
44,1.0,0.82,100,0.18000000000000005,convnext_tiny_in1k
45,0.9829545454545454,0.22613636363636364,880,0.7568181818181818,convnext_tiny_in1k
46,0.9914893617021276,0.48936170212765956,235,0.5021276595744681,convnext_tiny_in1k
47,0.9215686274509803,0.19215686274509805,255,0.7294117647058823,convnext_tiny_in1k
48,1.0,0.8482758620689655,145,0.15172413793103445,convnext_tiny_in1k
49,0.9722222222222222,0.058333333333333334,360,0.9138888888888889,convnext_tiny_in1k
50,0.6890756302521008,0.853781512605042,1190,-0.16470588235294115,convnext_tiny_in1k
51,0.9969230769230769,0.9261538461538461,325,0.0707692307692308,convnext_tiny_in1k
