y_true,clean,gray,n,CR,arm
127,0.7666666666666667,0.44,150,0.3266666666666667,resnet50
128,0.7266666666666667,0.4866666666666667,150,0.24,resnet50
129,0.5866666666666667,0.15333333333333332,150,0.43333333333333335,resnet50
130,0.8266666666666667,0.74,150,0.08666666666666667,resnet50
131,0.8266666666666667,0.58,150,0.2466666666666667,resnet50
132,0.92,0.26,150,0.66,resnet50
133,0.9466666666666667,0.0,150,0.9466666666666667,resnet50
134,0.64,0.36666666666666664,150,0.2733333333333334,resnet50
135,0.6866666666666666,0.0,150,0.6866666666666666,resnet50
136,0.6866666666666666,0.16,150,0.5266666666666666,resnet50
137,0.7866666666666666,0.38,150,0.4066666666666666,resnet50
138,0.9133333333333333,0.0,150,0.9133333333333333,resnet50
139,0.9466666666666667,0.006666666666666667,150,0.94,resnet50
140,0.6482758620689655,0.42758620689655175,145,0.22068965517241373,resnet50
141,0.4866666666666667,0.13333333333333333,150,0.3533333333333334,resnet50
142,0.5133333333333333,0.24666666666666667,150,0.2666666666666666,resnet50
143,0.2,0.006666666666666667,150,0.19333333333333336,resnet50
144,0.6933333333333334,0.30666666666666664,150,0.3866666666666667,resnet50
145,0.44,0.09333333333333334,150,0.3466666666666667,resnet50
146,0.8266666666666667,0.14,150,0.6866666666666666,resnet50
147,0.9533333333333334,0.07333333333333333,150,0.88,resnet50
148,0.903448275862069,0.23448275862068965,145,0.6689655172413793,resnet50
149,0.8533333333333334,0.4866666666666667,150,0.3666666666666667,resnet50
150,0.9523809523809523,0.6761904761904762,105,0.2761904761904761,resnet50
151,0.7666666666666667,0.11333333333333333,150,0.6533333333333334,resnet50
152,0.8,0.027586206896551724,145,0.7724137931034483,resnet50
153,0.8,0.24,150,0.56,resnet50
154,0.62,0.6666666666666666,150,-0.046666666666666634,resnet50
155,0.8666666666666667,0.0,150,0.8666666666666667,resnet50
156,0.6275862068965518,0.006896551724137931,145,0.6206896551724138,resnet50
157,0.9333333333333333,0.08,150,0.8533333333333334,resnet50
158,1.0,0.94,150,0.06000000000000005,resnet50
159,0.9724137931034482,0.4413793103448276,145,0.5310344827586206,resnet50
160,0.8866666666666667,0.05333333333333334,150,0.8333333333333334,resnet50
161,0.8266666666666667,0.0,150,0.8266666666666667,resnet50
162,0.8133333333333334,0.02,150,0.7933333333333333,resnet50
163,0.9266666666666666,0.38,150,0.5466666666666666,resnet50
164,0.8533333333333334,0.22666666666666666,150,0.6266666666666667,resnet50
165,0.9310344827586207,0.034482758620689655,145,0.896551724137931,resnet50
166,0.6866666666666666,0.0,150,0.6866666666666666,resnet50
