dataset,model,seed,bin,n,acc,macro_f1,uar
flowers102,convnext_tiny_in1k_gray,1,high,2048,0.64111328125,0.5083818962363736,0.686653269545127
flowers102,convnext_tiny_in1k_gray,2,overall,6149,0.7721580744836559,0.7594417450467766,0.7836696991042446
flowers102,convnext_tiny_in1k_gray,2,low,2048,0.86328125,0.6301389947921635,0.8039092809611209
flowers102,convnext_tiny_in1k_gray,2,mid,2053,0.7798343886994642,0.6937528167353723,0.7805712193800183
flowers102,convnext_tiny_in1k_gray,2,high,2048,0.67333984375,0.5390493924734793,0.7251152853709355
flowers102,convnext_tiny_in1k_gray,3,overall,6149,0.769393397300374,0.7558526379601876,0.7802275372933377
flowers102,convnext_tiny_in1k_gray,3,low,2048,0.8427734375,0.6115002442842075,0.7772167294427808
flowers102,convnext_tiny_in1k_gray,3,mid,2053,0.7764247442766683,0.6900887115287905,0.7693247683305842
flowers102,convnext_tiny_in1k_gray,3,high,2048,0.68896484375,0.553095894526934,0.7292577661974784
flowers102,convnext_tiny_in1k_gray,4,overall,6149,0.7991543340380549,0.7676994363256565,0.7887404805069479
flowers102,convnext_tiny_in1k_gray,4,low,2048,0.859375,0.6295741269988331,0.8023608606860471
flowers102,convnext_tiny_in1k_gray,4,mid,2053,0.8032148075986362,0.6990658494891306,0.7761082844147998
flowers102,convnext_tiny_in1k_gray,4,high,2048,0.73486328125,0.5443202357222314,0.7417933183802505
flowers102,vit_small_in1k_gray,0,overall,6149,0.4916246544153521,0.471905735512773,0.5105844000549419
flowers102,vit_small_in1k_gray,0,low,2048,0.6669921875,0.4581330622760202,0.590556063805821
flowers102,vit_small_in1k_gray,0,mid,2053,0.4914758889430102,0.4053424696548704,0.4763430495456584
flowers102,vit_small_in1k_gray,0,high,2048,0.31640625,0.2702831277422131,0.3857305573745135
flowers102,vit_small_in1k_gray,1,overall,6149,0.5083753455846479,0.4890683384676025,0.5319011562668707
flowers102,vit_small_in1k_gray,1,low,2048,0.69970703125,0.4954510478615019,0.6330094549350077
flowers102,vit_small_in1k_gray,1,mid,2053,0.5012177301509986,0.4213690116384973,0.5102986819612987
flowers102,vit_small_in1k_gray,1,high,2048,0.32421875,0.2656938080559201,0.3953854185973591
flowers102,vit_small_in1k_gray,2,overall,6149,0.5252886648235485,0.5152817888557638,0.5342376153643081
flowers102,vit_small_in1k_gray,2,low,2048,0.6640625,0.4604074258117411,0.6048032975375223
flowers102,vit_small_in1k_gray,2,mid,2053,0.5392109108621529,0.4401576241973598,0.5027930208809827
flowers102,vit_small_in1k_gray,2,high,2048,0.37255859375,0.3014553641087693,0.4284552841348777
flowers102,vit_small_in1k_gray,3,overall,6149,0.5234997560578956,0.5119725540988332,0.5575410773709361
flowers102,vit_small_in1k_gray,3,low,2048,0.67919921875,0.4710079708466185,0.6161603062237567
flowers102,vit_small_in1k_gray,3,mid,2053,0.53336580613736,0.4390460104087509,0.5330584177518941
flowers102,vit_small_in1k_gray,3,high,2048,0.35791015625,0.3072496108071756,0.4607771399506263
flowers102,vit_small_in1k_gray,4,overall,6149,0.5109773946983249,0.5033701822586285,0.5289739085106047
flowers102,vit_small_in1k_gray,4,low,2048,0.677734375,0.4940106415299135,0.6381744248745649
flowers102,vit_small_in1k_gray,4,mid,2053,0.5304432537749635,0.4493909258458202,0.5085842601191107
flowers102,vit_small_in1k_gray,4,high,2048,0.32470703125,0.2716068983430493,0.4178235151224563
flowers102,swin_tiny_gray,0,overall,6149,0.8290778988453407,0.8137639180212267,0.8335081527967523
flowers102,swin_tiny_gray,0,low,2048,0.86669921875,0.6586860856474261,0.8356025121297974
flowers102,swin_tiny_gray,0,mid,2053,0.8426692644909888,0.7557511929721298,0.8378468441208486
flowers102,swin_tiny_gray,0,high,2048,0.77783203125,0.5768641586330373,0.7901709790028099
flowers102,swin_tiny_gray,1,overall,6149,0.801756383151732,0.7868728015048095,0.8132062316733907
flowers102,swin_tiny_gray,1,low,2048,0.87744140625,0.6544585563810695,0.8312933264287055
flowers102,swin_tiny_gray,1,mid,2053,0.8066244520214321,0.7270821448066778,0.8182895493763608
flowers102,swin_tiny_gray,1,high,2048,0.72119140625,0.5547167191913813,0.7431610472772122
flowers102,swin_tiny_gray,2,overall,6149,0.8381850707432102,0.8124091810985836,0.832011055852837
flowers102,swin_tiny_gray,2,low,2048,0.861328125,0.641049332671022,0.8077651788200374
flowers102,swin_tiny_gray,2,mid,2053,0.84997564539698,0.7479904794814182,0.8239135832204091
flowers102,swin_tiny_gray,2,high,2048,0.80322265625,0.5884401465765339,0.8016937967756389
flowers102,swin_tiny_gray,3,overall,6149,0.7908603024882095,0.7754403126446745,0.8071483810322682
flowers102,swin_tiny_gray,3,low,2048,0.86572265625,0.6490148675678794,0.817156152181967
