dataset,model,seed,bin,n,acc,macro_f1,uar
cub200,convnext_tiny,1,mid,1934,0.904860392967942,0.894001991799313,0.9017569261878472
cub200,convnext_tiny,1,high,1930,0.8968911917098445,0.8614713793303993,0.8823760135924446
cub200,convnext_tiny,2,overall,5794,0.8841905419399378,0.8843010526529076,0.8858289234240864
cub200,convnext_tiny,2,low,1930,0.8652849740932642,0.8599299856965124,0.8798940618535439
cub200,convnext_tiny,2,mid,1934,0.8950361944157187,0.8817755782265614,0.8886765066074277
cub200,convnext_tiny,2,high,1930,0.8922279792746114,0.8609115883469736,0.8821817663067228
cub200,convnext_tiny,3,overall,5794,0.8883327580255437,0.8883268899694481,0.8898105113014764
cub200,convnext_tiny,3,low,1930,0.8699481865284974,0.8647163919578861,0.8844743015687363
cub200,convnext_tiny,3,mid,1934,0.9012409513960704,0.8870738632961445,0.894980209848631
cub200,convnext_tiny,3,high,1930,0.8937823834196891,0.8650170526703934,0.8851844204998754
cub200,convnext_tiny,4,overall,5794,0.8874697963410425,0.8875434376899648,0.8887423136189412
cub200,convnext_tiny,4,low,1930,0.8673575129533678,0.8627124869170163,0.8825319881711607
cub200,convnext_tiny,4,mid,1934,0.8981385729058945,0.8846412004214224,0.8931717613526824
cub200,convnext_tiny,4,high,1930,0.8968911917098445,0.8655841111987845,0.886045695665576
cub200,vit_small,0,overall,5794,0.8503624439074905,0.8487309462480128,0.8512916718770502
cub200,vit_small,0,low,1930,0.8186528497409327,0.8166055820071301,0.8411496467029405
cub200,vit_small,0,mid,1934,0.8707342295760083,0.855800955075349,0.8638942541376751
cub200,vit_small,0,high,1930,0.8616580310880829,0.8149754071266497,0.8424220318582756
cub200,vit_small,1,overall,5794,0.8463928201587849,0.8452684595112094,0.8481465488556351
cub200,vit_small,1,low,1930,0.816580310880829,0.8160777421296236,0.8404407114199016
cub200,vit_small,1,mid,1934,0.8671147880041365,0.8535354898953165,0.8622200255884467
cub200,vit_small,1,high,1930,0.855440414507772,0.8102868341129509,0.8324918750443703
cub200,vit_small,2,overall,5794,0.8503624439074905,0.8491103074313742,0.8524363294280443
cub200,vit_small,2,low,1930,0.816580310880829,0.8172878673735703,0.8422890700728479
cub200,vit_small,2,mid,1934,0.8702171664943124,0.856104402322375,0.8643965478965479
cub200,vit_small,2,high,1930,0.8642487046632125,0.8152263763401004,0.841073838408319
cub200,vit_small,3,overall,5794,0.8477735588539869,0.8460430281785292,0.8487563462055887
cub200,vit_small,3,low,1930,0.8212435233160622,0.8184930505665458,0.8415798834941609
cub200,vit_small,3,mid,1934,0.8634953464322648,0.8443128025565979,0.8531057925992136
cub200,vit_small,3,high,1930,0.8585492227979274,0.81138393595204,0.8325853593540778
cub200,vit_small,4,overall,5794,0.8543320676561961,0.8534626234442894,0.8562679416509212
cub200,vit_small,4,low,1930,0.8243523316062176,0.8234892159379729,0.8475171511885073
cub200,vit_small,4,mid,1934,0.8748707342295761,0.8579272002016191,0.865531040961962
cub200,vit_small,4,high,1930,0.8637305699481865,0.8149441299068916,0.8393522303741002
cub200,resnet50_gray,0,overall,5794,0.0428028995512599,0.0443231737415003,0.0448953403181683
cub200,resnet50_gray,0,low,1930,0.1005181347150259,0.0669155000968551,0.073970349567266
cub200,resnet50_gray,0,mid,1934,0.0170630816959669,0.0160320301714611,0.019002886002886
cub200,resnet50_gray,0,high,1930,0.010880829015544,0.0070420945876553,0.0084501059306971
cub200,resnet50_gray,1,overall,5794,0.0609250949257852,0.068326611427675,0.0633308647282647
cub200,resnet50_gray,1,low,1930,0.1507772020725388,0.1124684857942158,0.1092115026994747
cub200,resnet50_gray,1,mid,1934,0.0258531540847983,0.0281918398990158,0.0281631562881562
cub200,resnet50_gray,1,high,1930,0.0062176165803108,0.0003409727901374,0.0086140593754806
cub200,resnet50_gray,2,overall,5794,0.040041422160856,0.0407581042098666,0.0423114162856528
cub200,resnet50_gray,2,low,1930,0.0911917098445595,0.0702285812561092,0.0723747099031705
cub200,resnet50_gray,2,mid,1934,0.0211995863495346,0.0177911312260769,0.0226512099012099
cub200,resnet50_gray,2,high,1930,0.0077720207253886,0.0028224254768964,0.0083575427260109
cub200,resnet50_gray,3,overall,5794,0.01432516396272,0.0131733448682138,0.0155429664696018
cub200,resnet50_gray,3,low,1930,0.0347150259067357,0.0204531412468655,0.0262612957936282
cub200,resnet50_gray,3,mid,1934,0.0067218200620475,0.0041977970546074,0.0072808441558441
cub200,resnet50_gray,3,high,1930,0.0015544041450777,4.240779088809403e-05,0.0025380710659898
cub200,resnet50_gray,4,overall,5794,0.0176044183638246,0.0211023635464059,0.0175720927130419
cub200,resnet50_gray,4,low,1930,0.0445595854922279,0.0363098132949269,0.0338312936164458
cub200,resnet50_gray,4,mid,1934,0.0056876938986556,0.0037500410426429,0.0050423881673881
cub200,resnet50_gray,4,high,1930,0.0025906735751295,0.0015301727821167,0.0015749056358193
cub200,convnext_tiny_in1k_gray,0,overall,5794,0.6962374870555748,0.6974019826500377,0.6993563837352403
cub200,convnext_tiny_in1k_gray,0,low,1930,0.6989637305699482,0.6404900212646369,0.6750693758739007
cub200,convnext_tiny_in1k_gray,0,mid,1934,0.7063081695966908,0.6884810631015026,0.6966486149084834
cub200,convnext_tiny_in1k_gray,0,high,1930,0.683419689119171,0.6668794180441501,0.6974048267307158
cub200,convnext_tiny_in1k_gray,1,overall,5794,0.6901967552640663,0.6938873298040604,0.6938874623276896
cub200,convnext_tiny_in1k_gray,1,low,1930,0.6984455958549223,0.6446215761310561,0.6783353205876048
cub200,convnext_tiny_in1k_gray,1,mid,1934,0.704239917269907,0.6858759727929032,0.6980573487185331
cub200,convnext_tiny_in1k_gray,1,high,1930,0.6678756476683938,0.6495965260604503,0.6683851662641841
cub200,convnext_tiny_in1k_gray,2,overall,5794,0.6846738004832585,0.6855380140963294,0.6883506327111433
cub200,convnext_tiny_in1k_gray,2,low,1930,0.7031088082901554,0.6511721159081989,0.6886120964035475
cub200,convnext_tiny_in1k_gray,2,mid,1934,0.6913133402275078,0.6639583051635495,0.6769572594802858
cub200,convnext_tiny_in1k_gray,2,high,1930,0.6595854922279792,0.6430160694437879,0.6793013726926102
cub200,convnext_tiny_in1k_gray,3,overall,5794,0.6736278909216431,0.6740995785802412,0.6767087241347283
cub200,convnext_tiny_in1k_gray,3,low,1930,0.6917098445595855,0.6237011124688603,0.656983936266242
cub200,convnext_tiny_in1k_gray,3,mid,1934,0.6825232678386763,0.6660833580694416,0.6788721516057044
cub200,convnext_tiny_in1k_gray,3,high,1930,0.6466321243523316,0.6323304859438256,0.661462363021642
cub200,convnext_tiny_in1k_gray,4,overall,5794,0.6789782533655506,0.6816378268046729,0.6824307844726648
cub200,convnext_tiny_in1k_gray,4,low,1930,0.6932642487046632,0.6298908724337378,0.662058848435575
cub200,convnext_tiny_in1k_gray,4,mid,1934,0.6907962771458118,0.6724180019578099,0.6805521229501494
cub200,convnext_tiny_in1k_gray,4,high,1930,0.6528497409326425,0.6283713428926816,0.6602348335348743
cub200,vit_small_in1k_gray,0,overall,5794,0.5617880566102865,0.5549255247804945,0.5649797477153077
cub200,vit_small_in1k_gray,0,low,1930,0.6217616580310881,0.5487675800343507,0.5821225302614192
cub200,vit_small_in1k_gray,0,mid,1934,0.5703205791106515,0.5443860593801311,0.5626270936665674
cub200,vit_small_in1k_gray,0,high,1930,0.4932642487046632,0.4938631561131572,0.5303969314033915
cub200,vit_small_in1k_gray,1,overall,5794,0.5554021401449776,0.5477839184437929,0.5599018547180191
cub200,vit_small_in1k_gray,1,low,1930,0.6217616580310881,0.541154242408104,0.5803131551151435
cub200,vit_small_in1k_gray,1,mid,1934,0.5579110651499483,0.535275422879505,0.5531802444631392
cub200,vit_small_in1k_gray,1,high,1930,0.4865284974093264,0.4795378163583501,0.5250194439700512
cub200,vit_small_in1k_gray,2,overall,5794,0.5510873317224715,0.5418069415459208,0.554955034308739
cub200,vit_small_in1k_gray,2,low,1930,0.6005181347150259,0.5299696473350535,0.5724215149931441
cub200,vit_small_in1k_gray,2,mid,1934,0.5568769389865563,0.530453334101309,0.5499726716996455
cub200,vit_small_in1k_gray,2,high,1930,0.4958549222797927,0.4786557753749765,0.5221750389651443
cub200,vit_small_in1k_gray,3,overall,5794,0.5453917846047636,0.536308822867277,0.5490108405729017
cub200,vit_small_in1k_gray,3,low,1930,0.583419689119171,0.5161639965059994,0.5533460892096227
cub200,vit_small_in1k_gray,3,mid,1934,0.5641158221302999,0.5320961241985456,0.5474801105327421
cub200,vit_small_in1k_gray,3,high,1930,0.4886010362694301,0.4762680528801223,0.5233477498678355
cub200,vit_small_in1k_gray,4,overall,5794,0.5766309975837073,0.5711157699123354,0.5800025105443318
cub200,vit_small_in1k_gray,4,low,1930,0.6145077720207254,0.5583165894407452,0.585272489689965
cub200,vit_small_in1k_gray,4,mid,1934,0.5889348500517063,0.5602011069993187,0.5761975648620385
cub200,vit_small_in1k_gray,4,high,1930,0.5264248704663212,0.5066892535836803,0.555405556440923
cub200,swin_tiny_gray,0,overall,5794,0.7153952364515016,0.7134118267539651,0.7182817319855708
cub200,swin_tiny_gray,0,low,1930,0.7316062176165803,0.6863829194909458,0.7233007521172078
cub200,swin_tiny_gray,0,mid,1934,0.7290589451913133,0.7082077583128585,0.7213459869808554
cub200,swin_tiny_gray,0,high,1930,0.6854922279792746,0.6606542523218125,0.6942089879541272
cub200,swin_tiny_gray,1,overall,5794,0.7202278218847084,0.7170803643082359,0.7230745024889861
cub200,swin_tiny_gray,1,low,1930,0.7196891191709844,0.6686382552076485,0.7048789293746855
cub200,swin_tiny_gray,1,mid,1934,0.7378490175801448,0.7184897374125415,0.7293482920588183
