dataset,model,seed,condition,kind,param,n,acc,macro_f1,uar
cub200,convnext_tiny_in1k,2,hue_-0.250,hue,-0.25,5794,0.4373489817052123,0.4128092673746892,0.4465137741403818
cub200,convnext_tiny_in1k,2,hue_-0.083,hue,-0.083,5794,0.5576458405246807,0.5434683538025987,0.5654390211157749
cub200,convnext_tiny_in1k,2,hue_+0.083,hue,0.083,5794,0.5961339316534345,0.5834254346682879,0.6027025297043248
cub200,convnext_tiny_in1k,2,hue_+0.250,hue,0.25,5794,0.3943734898170521,0.3780409582572222,0.4044716215584597
cub200,convnext_tiny_in1k,2,hue_+0.500,hue,0.5,5794,0.4509837763203314,0.454614700730278,0.45915840045973
cub200,convnext_tiny_in1k,2,shuffle_021,shuffle,"(0, 2, 1)",5794,0.5711080428028995,0.5475591989216789,0.5788073687982352
cub200,convnext_tiny_in1k,2,shuffle_102,shuffle,"(1, 0, 2)",5794,0.5205384880911288,0.5056008848483144,0.5279979759019252
cub200,convnext_tiny_in1k,2,shuffle_120,shuffle,"(1, 2, 0)",5794,0.3797031411805316,0.34859722828589,0.388999812102846
cub200,convnext_tiny_in1k,2,shuffle_201,shuffle,"(2, 0, 1)",5794,0.3722816706938212,0.354827976351949,0.3821721064509079
cub200,convnext_tiny_in1k,2,shuffle_210,shuffle,"(2, 1, 0)",5794,0.3876423886779427,0.3708322962751654,0.3968031926581007
cub200,convnext_tiny_in1k,2,quant_2,quant,2,5794,0.5039696237487056,0.5011843902887817,0.5094684653499062
cub200,convnext_tiny_in1k,2,quant_4,quant,4,5794,0.6304798066965827,0.6313010521003218,0.6338578157816301
cub200,convnext_tiny_in1k,2,quant_8,quant,8,5794,0.7670003451846737,0.7661997160090184,0.7697809181365759
cub200,convnext_tiny_in1k,2,quant_16,quant,16,5794,0.8189506385916465,0.8184896894690346,0.8216817384425488
cub200,convnext_tiny_in1k,3,clean,clean,0,5794,0.8377632033137729,0.8376414227740248,0.8399301633892496
cub200,convnext_tiny_in1k,3,grayscale,grayscale,,5794,0.4202623403520883,0.3700553214679077,0.4272726809818067
cub200,convnext_tiny_in1k,3,hue_-0.500,hue,-0.5,5794,0.4081808767690714,0.4100437199462265,0.4157357530865579
cub200,convnext_tiny_in1k,3,hue_-0.250,hue,-0.25,5794,0.4402830514325164,0.4184886515540251,0.4489373797540766
cub200,convnext_tiny_in1k,3,hue_-0.083,hue,-0.083,5794,0.5749050742147048,0.5655742619293419,0.5815037765898059
cub200,convnext_tiny_in1k,3,hue_+0.083,hue,0.083,5794,0.6166724197445633,0.6120237331529419,0.6219359775386565
cub200,convnext_tiny_in1k,3,hue_+0.250,hue,0.25,5794,0.4233690024162927,0.4061961316180331,0.4329293340488796
cub200,convnext_tiny_in1k,3,hue_+0.500,hue,0.5,5794,0.4081808767690714,0.4100437199462265,0.4157357530865579
cub200,convnext_tiny_in1k,3,shuffle_021,shuffle,"(0, 2, 1)",5794,0.5688643424231964,0.5469117580728774,0.57600387731221
cub200,convnext_tiny_in1k,3,shuffle_102,shuffle,"(1, 0, 2)",5794,0.5516051087331723,0.5312520490758581,0.5585197248341729
cub200,convnext_tiny_in1k,3,shuffle_120,shuffle,"(1, 2, 0)",5794,0.3790127718329306,0.3508769626597221,0.3876470060986355
cub200,convnext_tiny_in1k,3,shuffle_201,shuffle,"(2, 0, 1)",5794,0.3919571971004487,0.3751346005976391,0.4016302132677695
cub200,convnext_tiny_in1k,3,shuffle_210,shuffle,"(2, 1, 0)",5794,0.3835001725923369,0.3723490808928306,0.3925637221911388
cub200,convnext_tiny_in1k,3,quant_2,quant,2,5794,0.4870555747324819,0.4878362587398566,0.4926301171094235
cub200,convnext_tiny_in1k,3,quant_4,quant,4,5794,0.6196064894718675,0.6239707461269489,0.6239142738141594
cub200,convnext_tiny_in1k,3,quant_8,quant,8,5794,0.7583707283396617,0.759396177994995,0.7611167440492383
cub200,convnext_tiny_in1k,3,quant_16,quant,16,5794,0.8111839834311356,0.8106300531512832,0.8136861031579133
cub200,convnext_tiny_in1k,4,clean,clean,0,5794,0.8348291335864687,0.833711160819943,0.8366540838826605
cub200,convnext_tiny_in1k,4,grayscale,grayscale,,5794,0.4173282706247843,0.3697889771325648,0.4247705092536427
cub200,convnext_tiny_in1k,4,hue_-0.500,hue,-0.5,5794,0.4225060407317915,0.4260558515483109,0.4308043788219753
cub200,convnext_tiny_in1k,4,hue_-0.250,hue,-0.25,5794,0.4527096996893338,0.4209596929344764,0.4611741593296276
cub200,convnext_tiny_in1k,4,hue_-0.083,hue,-0.083,5794,0.5793924749741112,0.5666480703196448,0.5856913481401567
cub200,convnext_tiny_in1k,4,hue_+0.083,hue,0.083,5794,0.6040731791508457,0.595894536750831,0.6084920479335377
cub200,convnext_tiny_in1k,4,hue_+0.250,hue,0.25,5794,0.4183638246461857,0.3976878245715768,0.4272105165366034
cub200,convnext_tiny_in1k,4,hue_+0.500,hue,0.5,5794,0.4225060407317915,0.4260558515483109,0.4308043788219753
cub200,convnext_tiny_in1k,4,shuffle_021,shuffle,"(0, 2, 1)",5794,0.5742147048671039,0.5426452647545084,0.5817094053457582
cub200,convnext_tiny_in1k,4,shuffle_102,shuffle,"(1, 0, 2)",5794,0.5588539868829824,0.5383999385145335,0.5653272790851304
cub200,convnext_tiny_in1k,4,shuffle_120,shuffle,"(1, 2, 0)",5794,0.3929927511218501,0.3574851697688257,0.4022229835805351
cub200,convnext_tiny_in1k,4,shuffle_201,shuffle,"(2, 0, 1)",5794,0.3829823955816361,0.3637919223882195,0.3922867809768109
cub200,convnext_tiny_in1k,4,shuffle_210,shuffle,"(2, 1, 0)",5794,0.387124611667242,0.3760322445787287,0.3956689441812735
cub200,convnext_tiny_in1k,4,quant_2,quant,2,5794,0.4917155678287884,0.4907911862141262,0.4974100137903893
cub200,convnext_tiny_in1k,4,quant_4,quant,4,5794,0.6309975837072834,0.6298511564751061,0.6352841081832442
cub200,convnext_tiny_in1k,4,quant_8,quant,8,5794,0.7632033137728684,0.7621298230962106,0.766242658075038
cub200,convnext_tiny_in1k,4,quant_16,quant,16,5794,0.815671384190542,0.8148365426646466,0.8186619647387225
cub200,vit_small_in1k,0,clean,clean,0,5794,0.7959958577839144,0.7942205368329696,0.7975935726716915
cub200,vit_small_in1k,0,grayscale,grayscale,,5794,0.2963410424577148,0.2662546646850648,0.3016460633224817
cub200,vit_small_in1k,0,hue_-0.500,hue,-0.5,5794,0.2970314118053158,0.3027237134282572,0.3032041768898867
cub200,vit_small_in1k,0,hue_-0.250,hue,-0.25,5794,0.2664825681739731,0.2636665254556101,0.2720081194651344
cub200,vit_small_in1k,0,hue_-0.083,hue,-0.083,5794,0.4711770797376596,0.4654331371988664,0.4762780892380632
cub200,vit_small_in1k,0,hue_+0.083,hue,0.083,5794,0.5170866413531239,0.509928854128514,0.5220257594488242
cub200,vit_small_in1k,0,hue_+0.250,hue,0.25,5794,0.2569899896444598,0.260177417060954,0.2645643402994859
cub200,vit_small_in1k,0,hue_+0.500,hue,0.5,5794,0.2970314118053158,0.3027237134282572,0.3032041768898867
cub200,vit_small_in1k,0,shuffle_021,shuffle,"(0, 2, 1)",5794,0.3910942354159475,0.3798686465106015,0.3956327448959619
