dataset,model,seed,condition,kind,param,n,acc,macro_f1,uar
flowers102,convnext_tiny_in1k,0,shuffle_201,shuffle,"(2, 0, 1)",6149,0.7435355342332086,0.7218570318353503,0.7462881545500561
flowers102,convnext_tiny_in1k,0,shuffle_210,shuffle,"(2, 1, 0)",6149,0.7396324605626932,0.7281018100313962,0.7502714557042722
flowers102,convnext_tiny_in1k,0,quant_2,quant,2,6149,0.6867783379411286,0.6936303612014649,0.729636448929779
flowers102,convnext_tiny_in1k,0,quant_4,quant,4,6149,0.8121645796064401,0.8082129714106133,0.8386779915504132
flowers102,convnext_tiny_in1k,0,quant_8,quant,8,6149,0.864693446088795,0.8611411499634103,0.8882971387294307
flowers102,convnext_tiny_in1k,0,quant_16,quant,16,6149,0.9079525126036754,0.9040220131153393,0.9259968965859154
flowers102,convnext_tiny_in1k,1,clean,clean,0,6149,0.9359245405757034,0.9341073066499728,0.948632062676584
flowers102,convnext_tiny_in1k,1,grayscale,grayscale,,6149,0.6965360221174175,0.667866117532234,0.7040751295986718
flowers102,convnext_tiny_in1k,1,hue_-0.500,hue,-0.5,6149,0.7402829728411123,0.7338464889486168,0.7578071402143952
flowers102,convnext_tiny_in1k,1,hue_-0.250,hue,-0.25,6149,0.6456334363311107,0.6514437169991887,0.6729185461699903
flowers102,convnext_tiny_in1k,1,hue_-0.083,hue,-0.083,6149,0.8806309969100666,0.8731193658772107,0.8889096804301378
flowers102,convnext_tiny_in1k,1,hue_+0.083,hue,0.083,6149,0.8822572776061148,0.88192970629481,0.900559152236179
flowers102,convnext_tiny_in1k,1,hue_+0.250,hue,0.25,6149,0.7446739307204423,0.7241634116116935,0.7465725763423766
flowers102,convnext_tiny_in1k,1,hue_+0.500,hue,0.5,6149,0.7402829728411123,0.7338464889486168,0.7578071402143952
flowers102,convnext_tiny_in1k,1,shuffle_021,shuffle,"(0, 2, 1)",6149,0.7747601235973329,0.7605104875409266,0.7770919041622768
flowers102,convnext_tiny_in1k,1,shuffle_102,shuffle,"(1, 0, 2)",6149,0.8344446251422996,0.8198644570324027,0.845078227595054
flowers102,convnext_tiny_in1k,1,shuffle_120,shuffle,"(1, 2, 0)",6149,0.6326231907627257,0.6312353984483093,0.6515305735236677
flowers102,convnext_tiny_in1k,1,shuffle_201,shuffle,"(2, 0, 1)",6149,0.7414213693283461,0.7135227051346217,0.7372017314812777
flowers102,convnext_tiny_in1k,1,shuffle_210,shuffle,"(2, 1, 0)",6149,0.757196292080013,0.7540865831573239,0.7703491649194276
flowers102,convnext_tiny_in1k,1,quant_2,quant,2,6149,0.6523011871849081,0.6602025628467073,0.6876686013500047
flowers102,convnext_tiny_in1k,1,quant_4,quant,4,6149,0.7555700113839648,0.7640747437796153,0.7751704352818191
flowers102,convnext_tiny_in1k,1,quant_8,quant,8,6149,0.7965522849243779,0.8217395040884188,0.8225819265170975
flowers102,convnext_tiny_in1k,1,quant_16,quant,16,6149,0.9077898845340706,0.9062867598846518,0.925462598795423
flowers102,convnext_tiny_in1k,2,clean,clean,0,6149,0.9216132704504798,0.9205390653644916,0.9386537078663508
flowers102,convnext_tiny_in1k,2,grayscale,grayscale,,6149,0.689055130915596,0.6498657929527775,0.689312301937041
flowers102,convnext_tiny_in1k,2,hue_-0.500,hue,-0.5,6149,0.6568547731338429,0.6663436770917565,0.6848625281427115
flowers102,convnext_tiny_in1k,2,hue_-0.250,hue,-0.25,6149,0.5462676858025696,0.5550546609677972,0.5759436741593518
flowers102,convnext_tiny_in1k,2,hue_-0.083,hue,-0.083,6149,0.8469669865018702,0.8378751106161143,0.8557573848734711
flowers102,convnext_tiny_in1k,2,hue_+0.083,hue,0.083,6149,0.8466417303626605,0.8541222695381262,0.8748951475386582
flowers102,convnext_tiny_in1k,2,hue_+0.250,hue,0.25,6149,0.6854773133842901,0.6698420970218679,0.6922543439051317
flowers102,convnext_tiny_in1k,2,hue_+0.500,hue,0.5,6149,0.6568547731338429,0.6663436770917565,0.6848625281427115
flowers102,convnext_tiny_in1k,2,shuffle_021,shuffle,"(0, 2, 1)",6149,0.6818994958529843,0.6821610533481706,0.7027889705408782
flowers102,convnext_tiny_in1k,2,shuffle_102,shuffle,"(1, 0, 2)",6149,0.8320052040982273,0.8270486915060071,0.8443036841310295
flowers102,convnext_tiny_in1k,2,shuffle_120,shuffle,"(1, 2, 0)",6149,0.5278907139372255,0.5396416484413258,0.5609173328618429
flowers102,convnext_tiny_in1k,2,shuffle_201,shuffle,"(2, 0, 1)",6149,0.6778337941128639,0.6624650318874227,0.6811045663705642
flowers102,convnext_tiny_in1k,2,shuffle_210,shuffle,"(2, 1, 0)",6149,0.6493738819320215,0.6633653017773594,0.6699295441157878
flowers102,convnext_tiny_in1k,2,quant_2,quant,2,6149,0.6199382013335502,0.6416723813375705,0.6772262824274183
flowers102,convnext_tiny_in1k,2,quant_4,quant,4,6149,0.7472759798341194,0.7547060460438693,0.7903279238591844
flowers102,convnext_tiny_in1k,2,quant_8,quant,8,6149,0.818344446251423,0.8254448152585017,0.8494128839279295
flowers102,convnext_tiny_in1k,2,quant_16,quant,16,6149,0.8928281021304277,0.8927842072108921,0.915437236390316
flowers102,convnext_tiny_in1k,3,clean,clean,0,6149,0.9277931370954626,0.9278166749928982,0.9438143301259472
flowers102,convnext_tiny_in1k,3,grayscale,grayscale,,6149,0.6394535696861279,0.601236873226947,0.6483198900769197
flowers102,convnext_tiny_in1k,3,hue_-0.500,hue,-0.5,6149,0.6736054643031387,0.6846946415474398,0.7105641351043849
flowers102,convnext_tiny_in1k,3,hue_-0.250,hue,-0.25,6149,0.5535859489347862,0.5516386006379167,0.5798522602204318
flowers102,convnext_tiny_in1k,3,hue_-0.083,hue,-0.083,6149,0.8588388355830217,0.8526252478947568,0.8737538894729227
flowers102,convnext_tiny_in1k,3,hue_+0.083,hue,0.083,6149,0.8560741583997398,0.8543495440085497,0.8743882751200925
flowers102,convnext_tiny_in1k,3,hue_+0.250,hue,0.25,6149,0.6508375345584648,0.6307728729283479,0.6589592170956379
flowers102,convnext_tiny_in1k,3,hue_+0.500,hue,0.5,6149,0.6736054643031387,0.6846946415474398,0.7105641351043849
flowers102,convnext_tiny_in1k,3,shuffle_021,shuffle,"(0, 2, 1)",6149,0.6929582045861116,0.682956649945309,0.7053703729348014
flowers102,convnext_tiny_in1k,3,shuffle_102,shuffle,"(1, 0, 2)",6149,0.7731338429012847,0.7646902000375715,0.7978501089668527
flowers102,convnext_tiny_in1k,3,shuffle_120,shuffle,"(1, 2, 0)",6149,0.5270775735892015,0.5270885840740165,0.556741019479613
flowers102,convnext_tiny_in1k,3,shuffle_201,shuffle,"(2, 0, 1)",6149,0.6575052854122622,0.6330102231573043,0.6618859418770839
flowers102,convnext_tiny_in1k,3,shuffle_210,shuffle,"(2, 1, 0)",6149,0.64628394860953,0.6557764310673185,0.6746009075940017
flowers102,convnext_tiny_in1k,3,quant_2,quant,2,6149,0.6664498292405269,0.674263527948863,0.6979895672433912
flowers102,convnext_tiny_in1k,3,quant_4,quant,4,6149,0.76418929907302,0.7709426311166606,0.7927445741122314
