dataset,id,backbone,arm,seed,y_true,clean,gray,n_img,CR
cub200,S1,ResNet-50,resnet50,0,117,0.6333333333333333,0.26666666666666666,30,0.36666666666666664
cub200,S1,ResNet-50,resnet50,0,118,0.6896551724137931,0.3793103448275862,29,0.31034482758620696
cub200,S1,ResNet-50,resnet50,0,119,0.7666666666666667,0.4666666666666667,30,0.30000000000000004
cub200,S1,ResNet-50,resnet50,0,120,0.7333333333333333,0.7,30,0.033333333333333326
cub200,S1,ResNet-50,resnet50,0,121,0.9666666666666667,0.6666666666666666,30,0.30000000000000004
cub200,S1,ResNet-50,resnet50,0,122,0.6666666666666666,0.5666666666666667,30,0.09999999999999998
cub200,S1,ResNet-50,resnet50,0,123,0.8275862068965517,0.2413793103448276,29,0.5862068965517241
cub200,S1,ResNet-50,resnet50,0,124,0.7931034482758621,0.6206896551724138,29,0.1724137931034483
cub200,S1,ResNet-50,resnet50,0,125,0.6,0.3,30,0.3
cub200,S1,ResNet-50,resnet50,0,126,0.7333333333333333,0.2,30,0.5333333333333332
cub200,S1,ResNet-50,resnet50,0,127,0.8,0.3333333333333333,30,0.46666666666666673
cub200,S1,ResNet-50,resnet50,0,128,0.5666666666666667,0.5,30,0.06666666666666665
cub200,S1,ResNet-50,resnet50,0,129,0.5666666666666667,0.23333333333333334,30,0.3333333333333333
cub200,S1,ResNet-50,resnet50,0,130,0.8,0.6,30,0.20000000000000007
cub200,S1,ResNet-50,resnet50,0,131,0.8666666666666667,0.5333333333333333,30,0.33333333333333337
cub200,S1,ResNet-50,resnet50,0,132,0.9333333333333333,0.4666666666666667,30,0.4666666666666667
cub200,S1,ResNet-50,resnet50,0,133,0.9333333333333333,0.0,30,0.9333333333333333
cub200,S1,ResNet-50,resnet50,0,134,0.6333333333333333,0.3,30,0.3333333333333333
cub200,S1,ResNet-50,resnet50,0,135,0.6333333333333333,0.0,30,0.6333333333333333
cub200,S1,ResNet-50,resnet50,0,136,0.6666666666666666,0.06666666666666667,30,0.6
cub200,S1,ResNet-50,resnet50,0,137,0.8,0.4666666666666667,30,0.33333333333333337
cub200,S1,ResNet-50,resnet50,0,138,0.9666666666666667,0.0,30,0.9666666666666667
cub200,S1,ResNet-50,resnet50,0,139,0.9666666666666667,0.0,30,0.9666666666666667
cub200,S1,ResNet-50,resnet50,0,140,0.6896551724137931,0.41379310344827586,29,0.2758620689655173
cub200,S1,ResNet-50,resnet50,0,141,0.5,0.06666666666666667,30,0.43333333333333335
cub200,S1,ResNet-50,resnet50,0,142,0.4,0.2,30,0.2
cub200,S1,ResNet-50,resnet50,0,143,0.16666666666666666,0.0,30,0.16666666666666666
cub200,S1,ResNet-50,resnet50,0,144,0.7,0.2,30,0.49999999999999994
cub200,S1,ResNet-50,resnet50,0,145,0.4666666666666667,0.1,30,0.3666666666666667
cub200,S1,ResNet-50,resnet50,0,146,0.8666666666666667,0.2,30,0.6666666666666667
cub200,S1,ResNet-50,resnet50,0,147,0.9666666666666667,0.03333333333333333,30,0.9333333333333333
cub200,S1,ResNet-50,resnet50,0,148,0.9310344827586207,0.41379310344827586,29,0.5172413793103448
cub200,S1,ResNet-50,resnet50,0,149,0.8333333333333334,0.43333333333333335,30,0.4
cub200,S1,ResNet-50,resnet50,0,150,1.0,0.6190476190476191,21,0.38095238095238093
cub200,S1,ResNet-50,resnet50,0,151,0.7666666666666667,0.0,30,0.7666666666666667
cub200,S1,ResNet-50,resnet50,0,152,0.7931034482758621,0.0,29,0.7931034482758621
cub200,S1,ResNet-50,resnet50,0,153,0.8333333333333334,0.26666666666666666,30,0.5666666666666667
cub200,S1,ResNet-50,resnet50,0,154,0.5666666666666667,0.7666666666666667,30,-0.20000000000000007
cub200,S1,ResNet-50,resnet50,0,155,0.9,0.0,30,0.9
cub200,S1,ResNet-50,resnet50,0,156,0.6206896551724138,0.0,29,0.6206896551724138
cub200,S1,ResNet-50,resnet50,0,157,0.9333333333333333,0.03333333333333333,30,0.9
cub200,S1,ResNet-50,resnet50,0,158,1.0,0.9666666666666667,30,0.033333333333333326
cub200,S1,ResNet-50,resnet50,0,159,0.9655172413793104,0.3448275862068966,29,0.6206896551724138
cub200,S1,ResNet-50,resnet50,0,160,0.9,0.03333333333333333,30,0.8666666666666667
cub200,S1,ResNet-50,resnet50,0,161,0.8333333333333334,0.0,30,0.8333333333333334
cub200,S1,ResNet-50,resnet50,0,162,0.8666666666666667,0.03333333333333333,30,0.8333333333333334
cub200,S1,ResNet-50,resnet50,0,163,0.9333333333333333,0.3333333333333333,30,0.6000000000000001
cub200,S1,ResNet-50,resnet50,0,164,0.8333333333333334,0.26666666666666666,30,0.5666666666666667
cub200,S1,ResNet-50,resnet50,0,165,0.9310344827586207,0.0,29,0.9310344827586207
cub200,S1,ResNet-50,resnet50,0,166,0.7333333333333333,0.0,30,0.7333333333333333
cub200,S1,ResNet-50,resnet50,0,167,0.896551724137931,0.0,29,0.896551724137931
cub200,S1,ResNet-50,resnet50,0,168,0.9310344827586207,0.0,29,0.9310344827586207
cub200,S1,ResNet-50,resnet50,0,169,0.7666666666666667,0.0,30,0.7666666666666667
cub200,S1,ResNet-50,resnet50,0,170,0.8,0.13333333333333333,30,0.6666666666666667
cub200,S1,ResNet-50,resnet50,0,171,0.8,0.0,30,0.8
cub200,S1,ResNet-50,resnet50,0,172,0.6,0.26666666666666666,30,0.3333333333333333
cub200,S1,ResNet-50,resnet50,0,173,0.8,0.43333333333333335,30,0.3666666666666667
cub200,S1,ResNet-50,resnet50,0,174,0.8,0.0,30,0.8
cub200,S1,ResNet-50,resnet50,0,175,0.9666666666666667,0.0,30,0.9666666666666667
cub200,S1,ResNet-50,resnet50,0,176,1.0,0.0,30,1.0
cub200,S1,ResNet-50,resnet50,0,177,0.8461538461538461,0.6923076923076923,26,0.15384615384615385
cub200,S1,ResNet-50,resnet50,0,178,0.6206896551724138,0.1724137931034483,29,0.4482758620689655
cub200,S1,ResNet-50,resnet50,0,179,0.8333333333333334,0.0,30,0.8333333333333334
cub200,S1,ResNet-50,resnet50,0,180,0.8275862068965517,0.7586206896551724,29,0.06896551724137934
cub200,S1,ResNet-50,resnet50,0,181,0.9333333333333333,0.06666666666666667,30,0.8666666666666667
cub200,S1,ResNet-50,resnet50,0,182,0.8333333333333334,0.5,30,0.33333333333333337
cub200,S1,ResNet-50,resnet50,0,183,0.8333333333333334,0.9333333333333333,30,-0.09999999999999998
cub200,S1,ResNet-50,resnet50,0,184,0.9,0.7,30,0.20000000000000007
cub200,S1,ResNet-50,resnet50,0,185,0.9,0.43333333333333335,30,0.4666666666666667
cub200,S1,ResNet-50,resnet50,0,186,1.0,0.85,20,0.15000000000000002
cub200,S1,ResNet-50,resnet50,0,187,0.9666666666666667,0.8333333333333334,30,0.1333333333333333
cub200,S1,ResNet-50,resnet50,0,188,1.0,0.8666666666666667,30,0.1333333333333333
cub200,S1,ResNet-50,resnet50,0,189,0.9310344827586207,0.9310344827586207,29,0.0
cub200,S1,ResNet-50,resnet50,0,190,0.8,0.03333333333333333,30,0.7666666666666667
cub200,S1,ResNet-50,resnet50,0,191,0.9666666666666667,0.8666666666666667,30,0.09999999999999998
cub200,S1,ResNet-50,resnet50,0,192,0.6666666666666666,0.16666666666666666,30,0.5
cub200,S1,ResNet-50,resnet50,0,193,0.9333333333333333,0.7333333333333333,30,0.20000000000000007
cub200,S1,ResNet-50,resnet50,0,194,0.8666666666666667,0.4,30,0.4666666666666667
cub200,S1,ResNet-50,resnet50,0,195,0.6,0.5666666666666667,30,0.033333333333333326
cub200,S1,ResNet-50,resnet50,0,196,0.7333333333333333,0.36666666666666664,30,0.36666666666666664
cub200,S1,ResNet-50,resnet50,0,197,0.8333333333333334,0.5,30,0.33333333333333337
cub200,S1,ResNet-50,resnet50,0,198,0.8333333333333334,0.7,30,0.13333333333333341
cub200,S1,ResNet-50,resnet50,0,199,0.9,0.0,30,0.9
