dataset,id,backbone,arm,y_true,n_img,n_seed,clean_mean,clean_sd,gray_mean,gray_sd,CR_mean,CR_sd
cub200,S1,ResNet-50,resnet50,50,30,5,0.8733333333333334,0.04346134936801765,0.37333333333333335,0.049441323247304436,0.5,0.0235702260395516
cub200,S1,ResNet-50,resnet50,51,30,5,0.8733333333333334,0.014907119849998596,0.8,0.04082482904638634,0.07333333333333333,0.04346134936801769
cub200,S1,ResNet-50,resnet50,52,30,5,0.9466666666666667,0.029814239699997188,0.8666666666666666,0.10274023338281629,0.08,0.09309493362512627
cub200,S1,ResNet-50,resnet50,53,30,5,0.8200000000000001,0.029814239699997188,0.019999999999999997,0.02981423969999719,0.8,0.033333333333333326
cub200,S1,ResNet-50,resnet50,54,30,5,0.9133333333333333,0.03800584750330459,0.006666666666666666,0.014907119849998596,0.9066666666666666,0.027888667551135844
cub200,S1,ResNet-50,resnet50,55,30,5,0.8933333333333333,0.014907119849998596,0.07333333333333333,0.04944132324730442,0.8200000000000001,0.055777335102271695
cub200,S1,ResNet-50,resnet50,56,30,5,0.9733333333333334,0.014907119849998596,0.5466666666666666,0.10165300454651269,0.42666666666666664,0.11401754250991378
cub200,S1,ResNet-50,resnet50,57,28,5,0.7428571428571429,0.04656573146573318,0.5,0.025253813613805257,0.24285714285714288,0.02988071523335983
cub200,S1,ResNet-50,resnet50,58,30,5,0.30666666666666664,0.054772255750516606,0.10666666666666666,0.027888667551135848,0.2,0.04082482904638629
cub200,S1,ResNet-50,resnet50,59,29,5,0.5103448275862069,0.0858613765378533,0.6482758620689655,0.0786327879378716,-0.13793103448275862,0.024382992454708565
cub200,S1,ResNet-50,resnet50,60,30,5,0.9666666666666666,1.2412670766236366e-16,0.5066666666666666,0.09249624617007737,0.45999999999999996,0.09249624617007737
cub200,S1,ResNet-50,resnet50,61,30,5,0.4533333333333333,0.1016530045465127,0.18,0.07302967433402215,0.2733333333333333,0.11642832797715322
