dataset,id,backbone,arm,y_true,n_img,n_seed,clean_mean,clean_sd,gray_mean,gray_sd,CR_mean,CR_sd
flowers102,S1,ResNet-50,resnet50,52,73,5,0.5698630136986301,0.057794583862271175,0.06027397260273972,0.06247536575885687,0.5095890410958904,0.015006097465894977
flowers102,S1,ResNet-50,resnet50,53,41,5,0.9853658536585366,0.013359086768418698,0.7560975609756098,0.024390243902439046,0.2292682926829268,0.0278091567097351
flowers102,S1,ResNet-50,resnet50,54,51,5,0.9490196078431372,0.022356380884296832,0.49411764705882355,0.1318253828546793,0.4549019607843137,0.15276510730025458
flowers102,S1,ResNet-50,resnet50,55,89,5,0.9797752808988763,0.009400674455439033,0.07191011235955055,0.06434975758775889,0.9078651685393258,0.06522663044359545
flowers102,S1,ResNet-50,resnet50,56,47,5,0.9276595744680851,0.024259051597854034,0.9531914893617021,0.027741286830649563,-0.025531914893617037,0.01780127716029948
flowers102,S1,ResNet-50,resnet50,57,94,5,0.9851063829787234,0.005826835718140104,0.00851063829787234,0.019030365765955657,0.9765957446808511,0.017480507154420174
flowers102,S1,ResNet-50,resnet50,58,47,5,0.9914893617021276,0.011653671436280147,0.01702127659574468,0.027741286830649567,0.9744680851063829,0.03806073153191133
flowers102,S1,ResNet-50,resnet50,59,89,5,0.9820224719101123,0.006154186039383903,0.6112359550561798,0.12627334019852854,0.37078651685393255,0.1300655831774183
flowers102,S1,ResNet-50,resnet50,60,30,5,0.9400000000000001,0.036514837167011066,0.29333333333333333,0.2241031508529548,0.6466666666666667,0.21421692017412838
flowers102,S1,ResNet-50,resnet50,61,35,5,0.7714285714285715,0.0,0.17714285714285713,0.03129843185743806,0.5942857142857143,0.031298431857438046
flowers102,S1,ResNet-50,resnet50,62,34,5,0.9705882352941175,1.2412670766236366e-16,0.1764705882352941,0.27275348516163833,0.7941176470588236,0.2727534851616384
flowers102,S1,ResNet-50,resnet50,63,32,5,0.99375,0.013975424859373685,0.96875,0.04419417382415922,0.025,0.04074501503251656
flowers102,S1,ResNet-50,resnet50,64,82,5,0.875609756097561,0.03798149146926207,0.1878048780487805,0.07245585745128268,0.6878048780487804,0.08903274267533652
flowers102,S1,ResNet-50,resnet50,65,41,5,1.0,0.0,0.9365853658536585,0.027809156709735043,0.06341463414634145,0.027809156709735047
flowers102,S1,ResNet-50,resnet50,66,22,5,0.6,0.08743356391668794,0.5363636363636364,0.08131156281817419,0.06363636363636364,0.13483997249264845
flowers102,S1,ResNet-50,resnet50,67,34,5,0.8823529411764707,0.02941176470588236,0.8,0.076130465326734,0.08235294117647056,0.08161433485595061
flowers102,S1,ResNet-50,resnet50,68,34,5,0.9941176470588236,0.013153341044116413,0.6352941176470589,0.0847344722993408,0.35882352941176465,0.08161433485595065
flowers102,S1,ResNet-50,resnet50,69,42,5,0.980952380952381,0.019920476822239915,0.5047619047619047,0.10567781438653405,0.47619047619047616,0.09373818897633106
flowers102,S1,ResNet-50,resnet50,70,58,5,0.9965517241379309,0.0077105792327579106,0.5655172413793104,0.27998004005636606,0.43103448275862066,0.2840906388497256
flowers102,S1,ResNet-50,resnet50,71,76,5,0.8236842105263158,0.01500230822498863,0.20789473684210527,0.10542750328426384,0.6157894736842106,0.09368938483641003
flowers102,S1,ResNet-50,resnet50,72,174,5,0.9080459770114941,0.026336641925033603,0.6931034482758621,0.06597941443018926,0.21494252873563222,0.0619784354691628
flowers102,S1,ResNet-50,resnet50,73,151,5,0.590728476821192,0.062018727250029965,0.06357615894039735,0.055526553155641284,0.5271523178807946,0.050997677637558844
flowers102,S1,ResNet-50,resnet50,74,100,5,0.8939999999999999,0.03911521443121588,0.702,0.11031772296417286,0.192,0.09833615815151615
flowers102,S1,ResNet-50,resnet50,75,87,5,0.7540229885057471,0.04711241731475681,0.7609195402298851,0.07057508704831611,-0.006896551724137945,0.10646929817847739
flowers102,S1,ResNet-50,resnet50,76,231,5,0.9134199134199135,0.011855466612665927,0.9108225108225108,0.0244118998785657,0.0025974025974025983,0.027310494018333357
flowers102,S1,ResNet-50,resnet50,77,117,5,0.8307692307692308,0.033866004711382826,0.7435897435897436,0.06996028010147391,0.08717948717948718,0.07135600500766426
flowers102,S1,ResNet-50,resnet50,78,21,5,1.0,0.0,0.9714285714285713,0.02608202654786508,0.028571428571428602,0.026082026547865084
