dataset,id,backbone,condition,kind,param,acc_mean,acc_sd,n_seed
cub200,S3,ViT-S,shuffle_201,shuffle,"(2, 0, 1)",0.2498791853641698,0.014390206299913045,5
cub200,S3,ViT-S,shuffle_210,shuffle,"(2, 1, 0)",0.3023127373144632,0.015177629190617492,5
cub200,S4,Swin-T,clean,clean,0,0.8467725232999654,0.0035651912384440567,5
cub200,S4,Swin-T,grayscale,grayscale,,0.4170521228857439,0.020501688604875303,5
cub200,S4,Swin-T,hue_+0.083,hue,0.083,0.6353814290645495,0.004729156009196549,5
cub200,S4,Swin-T,hue_+0.250,hue,0.25,0.40155333103210217,0.02052455995304427,5
cub200,S4,Swin-T,hue_+0.500,hue,0.5,0.41877804625474624,0.01197969863038149,5
cub200,S4,Swin-T,hue_-0.083,hue,-0.083,0.5892647566448049,0.006403850215731935,5
cub200,S4,Swin-T,hue_-0.250,hue,-0.25,0.4177770107007248,0.018627423254983778,5
cub200,S4,Swin-T,hue_-0.500,hue,-0.5,0.41877804625474624,0.01197969863038149,5
cub200,S4,Swin-T,quant_16,quant,16,0.8282015878494995,0.002805886442854068,5
cub200,S4,Swin-T,quant_2,quant,2,0.47469796341042453,0.016097693831814638,5
cub200,S4,Swin-T,quant_4,quant,4,0.6488436313427683,0.005360930247377875,5
cub200,S4,Swin-T,quant_8,quant,8,0.7804280289955126,0.006392210651390259,5
cub200,S4,Swin-T,shuffle_021,shuffle,"(0, 2, 1)",0.5174318260269244,0.02253536497218027,5
cub200,S4,Swin-T,shuffle_102,shuffle,"(1, 0, 2)",0.5305488436313428,0.013065821278073946,5
cub200,S4,Swin-T,shuffle_120,shuffle,"(1, 2, 0)",0.384984466689679,0.013732537890048996,5
cub200,S4,Swin-T,shuffle_201,shuffle,"(2, 0, 1)",0.37003797031411806,0.011629189180478438,5
cub200,S4,Swin-T,shuffle_210,shuffle,"(2, 1, 0)",0.3895409043838453,0.007155820656412808,5
